ID,UserID,Street,City,ZipCode
185,185,Barış Mah. ,Gümüşhane,75845
186,186,Esentepe Mah. ,Ağrı,47861
187,187,Merkez Mah.,Manisa,57675
188,188,Karanfil Mah. ,Ardahan,19826
189,189,Fatih Mah. ,Kütahya,50098
190,190,Atatürk Mah.,Giresun,30475
191,191,Yıldız Mah.,Şırnak,30120
192,192,Fatih Mah. ,İstanbul,36965
193,193,Çınar Mah. ,Giresun,79188
194,194,Merkez Mah.,Ardahan,66706
195,195,Yıldız Mah.,Bartın,51994
196,196,Fatih Mah. ,Edirne,67031
197,197,Gazi Mah. ,Bartın,74535
198,198,Karanfil Mah.,Osmaniye,70723
199,199,Barış Mah.,Tokat,40326
200,200,Zafer Mah. ,Ankara,33216
201,201,Yıldız Mah. ,Antalya,38661
202,202,Mimar Sinan Mah.,Bitlis,39697
203,203,Fatih Mah.,Erzincan,78113
204,204,Atatürk Mah. ,Kayseri,58133
205,205,Karanfil Mah. ,Balıkesir,46172
206,206,Gül Mah.,İzmir,47072
207,207,Karanfil Mah.,Yalova,18505
208,208,Fatih Mah. ,İstanbul,16991
209,209,Gazi Mah. ,Van,35376
210,210,Fatih Mah.,Iğdır,39666
211,211,Lale Mah.,Ağrı,43108
212,212,Yavuz Selim Mah. ,Bilecik,77533
213,213,Fatih Mah.,Bartın,32532
214,214,Yavuz Selim Mah.,Manisa,12077
215,215,Çınar Mah.,Kocaeli,77931
216,216,Barış Mah. ,Artvin,25491
217,217,Yeşilyurt Mah. ,Tokat,52567
218,218,Gül Mah.,Ardahan,66774
219,219,Yeni Mah. ,Bitlis,44530
220,220,Zafer Mah.,Antalya,68983
221,221,Karanfil Mah. ,Kastamonu,49986
222,222,Yıldız Mah.,Muğla,10588
223,223,İnönü Mah. ,Tokat,45744
224,224,Gazi Mah. ,Kırıkkale,40273
225,225,Menekşe Mah.,Hatay,55401
226,226,Çınar Mah. ,Niğde,79855
227,227,Yavuz Selim Mah. ,Düzce,31042
228,228,Menekşe Mah. ,Adana,73057
229,229,Yıldız Mah.,Iğdır,56215
230,230,Çınar Mah. ,Kırklareli,40856
231,231,Mimar Sinan Mah.,Kastamonu,46640
232,232,Esentepe Mah. ,Kars,66370
233,233,Fatih Mah. ,Nevşehir,71606
234,234,Esentepe Mah. ,Burdur,10364
235,235,Yavuz Selim Mah.,Düzce,44446
236,236,Bahçelievler Mah.,Hakkari,18027
237,237,Atatürk Mah. ,Karaman,80193
238,238,Merkez Mah.,Diyarbakır,61869
239,239,Yeni Mah. ,İzmir,54834
240,240,Gül Mah. ,Balıkesir,75447
241,241,Aydınlıkevler Mah. ,Yalova,68200
242,242,Karşıyaka Mah. ,İzmir,49821
243,243,Barış Mah.,Aydın,26364
244,244,Fatih Mah.,Denizli,21382
245,245,Barış Mah.,Osmaniye,75614
246,246,Karşıyaka Mah.,Kırıkkale,53215
247,247,Karşıyaka Mah. ,Siirt,63896
248,248,Hürriyet Mah.,Muş,65563
249,249,Aydınlıkevler Mah.,Amasya,68104
250,250,Gazi Mah. ,Çorum,76178
251,251,Menekşe Mah. ,Yalova,68973
252,252,Yıldız Mah. ,Rize,76360
253,253,Yeni Mah.,Bolu,43357
254,254,Merkez Mah. ,Artvin,25325
255,255,Çınar Mah.,Balıkesir,45846
256,256,Merkez Mah. ,Bilecik,48562
257,257,İnönü Mah.,Kahramanmaraş,13826
258,258,Karşıyaka Mah. ,Uşak,60983
259,259,Lale Mah.,Antalya,39502
260,260,Gazi Mah. ,Yalova,50646
261,261,Papatya Mah.,Tokat,67731
262,262,Çınar Mah.,Isparta,40265
263,263,Lale Mah. ,Bitlis,39338
264,264,Atatürk Mah.,Gümüşhane,30011
265,265,Aydınlıkevler Mah. ,Karabük,81185
266,266,Aydınlıkevler Mah. ,Bartın,41922
267,267,Yeşilyurt Mah. ,İstanbul,41382
268,268,Gazi Mah.,Artvin,45360
269,269,Yavuz Selim Mah. ,Zonguldak,77707
270,270,Lale Mah. ,Düzce,25050
271,271,Merkez Mah.,Tunceli,81569
272,272,Bahçelievler Mah. ,Nevşehir,51657
273,273,Menekşe Mah.,Karaman,67462
274,274,Fatih Mah. ,Çanakkale,73817
275,275,İnönü Mah. ,Amasya,80686
276,276,Merkez Mah. ,Denizli,76941
277,277,Atatürk Mah. ,Muğla,72619
278,278,Yıldız Mah.,Balıkesir,64156
279,279,Karanfil Mah. ,Tekirdağ,53736
280,280,Lale Mah. ,Denizli,17817
281,281,Papatya Mah. ,Kırıkkale,44428
282,282,Fatih Mah.,Adıyaman,50237
283,283,Merkez Mah. ,Uşak,28493
284,284,Gazi Mah.,Adıyaman,15485
285,285,Cumhuriyet Mah. ,Muğla,67699
286,286,Esentepe Mah.,Hatay,15269
287,287,Lale Mah. ,Kayseri,14287
288,288,Yeni Mah. ,Çorum,20957
289,289,Mimar Sinan Mah. ,Kırıkkale,27296
290,290,Fatih Mah. ,Artvin,66778
291,291,Fatih Mah. ,Bartın,18151
292,292,Yeşilyurt Mah.,Ordu,62028
293,293,Bahçelievler Mah. ,Kars,19359
294,294,Yavuz Selim Mah.,Erzurum,28032
295,295,Esentepe Mah.,Kocaeli,51994
296,296,Esentepe Mah.,Bilecik,26142
297,297,Barış Mah. ,Kastamonu,52562
298,298,Yıldız Mah. ,Kastamonu,61833
299,299,Karşıyaka Mah. ,Diyarbakır,18032
300,300,Fatih Mah. ,Tekirdağ,43002
